Product_Name,Stock_Quantity,Unit_Price,Sales_Volume,Total_Inventory_Value,Revenue_90_Discount,Best_Seller
Pear,82,$4.45,30,$364.90,$120.15,No
Olive Oil,100,$6.00,84,$600.00,$453.60,No
Ricotta Cheese,51,$6.00,54,$306.00,$291.60,No
Black Coffee,61,$15.00,67,$915.00,$904.50,No
White Tea,99,$25.00,93,$2475.00,$2092.50,No
Cucumber,13,$1.80,44,$23.40,$71.28,No
Mozzarella Cheese,45,$7.00,83,$315.00,$522.90,No
Broccoli,73,$4.00,47,$292.00,$169.20,No
Eggplant,39,$3.00,51,$117.00,$137.70,No
Trout,29,$12.00,85,$348.00,$918.00,No
Heavy Cream,12,$4.00,20,$48.00,$72.00,No
Bell Pepper,96,$4.45,74,$427.20,$296.37,No
Onion,35,$2.00,76,$70.00,$136.80,No
Sardines,89,$6.00,60,$534.00,$324.00,No
Mango,60,$4.50,26,$270.00,$105.30,No
Arborio Rice,20,$4.50,50,$90.00,$202.50,No
Potato,28,$1.20,30,$33.60,$32.40,No
Corn Oil,20,$2.50,86,$50.00,$193.50,No
Butter Biscuit,38,$6.00,67,$228.00,$361.80,No
Peas,99,$3.00,50,$297.00,$135.00,No
Cream,92,$2.50,72,$230.00,$162.00,No
Spinach,41,$2.40,59,$98.40,$127.44,No
Sardines,44,$6.00,90,$264.00,$486.00,No
White Sugar,47,$2.00,29,$94.00,$52.20,No
Bread Flour,21,$1.50,38,$31.50,$51.30,No
Cucumber,85,$1.80,64,$153.00,$103.68,No
Swiss Cheese,29,$8.00,59,$232.00,$424.80,No
Peanut Oil,64,$4.00,51,$256.00,$183.60,No
Blueberries,66,$10.00,24,$660.00,$216.00,No
Chocolate Biscuit,75,$5.00,69,$375.00,$310.50,No
Cheese,53,$9.00,56,$477.00,$453.60,No
Palm Oil,43,$1.80,33,$77.40,$53.46,No
Eggplant,74,$3.00,82,$222.00,$221.40,No
Garlic,27,$7.00,91,$189.00,$573.30,No
Jasmine Rice,91,$4.75,51,$432.25,$218.03,No
Rice Flour,52,$2.00,95,$104.00,$171.00,No
Zucchini,43,$2.50,66,$107.50,$148.50,No
Multigrain Bread,56,$3.20,67,$179.20,$192.96,No
Ricotta Cheese,66,$6.00,43,$396.00,$232.20,No
Bread Flour,84,$1.50,92,$126.00,$124.20,No
Cottage Cheese,37,$5.00,68,$185.00,$306.00,No
Whipped Cream,29,$4.00,60,$116.00,$216.00,No
Almond Flour,13,$9.50,24,$123.50,$205.20,No
Lemon,63,$2.50,56,$157.50,$126.00,No
Tilapia,95,$7.00,61,$665.00,$384.30,No
Lettuce,58,$2.00,53,$116.00,$95.40,No
Peanut Oil,57,$4.00,56,$228.00,$201.60,No
Sardines,33,$6.00,98,$198.00,$529.20,No
Arabica Coffee,62,$20.00,23,$1240.00,$414.00,No
Coconut,89,$5.00,38,$445.00,$171.00,No
Cod,23,$8.00,63,$184.00,$453.60,No
Banana,56,$98.43,35,$5512.08,$3100.55,No
Black Rice,86,$6.10,80,$524.60,$439.20,No
Pomegranate,60,$6.00,96,$360.00,$518.40,No
Pineapple,70,$3.50,44,$245.00,$138.60,No
Peach,47,$4.00,93,$188.00,$334.80,No
Arborio Rice,95,$4.50,60,$427.50,$243.00,No
Plum,20,$3.85,61,$77.00,$211.37,No
Sushi Rice,19,$4.30,58,$81.70,$224.46,No
Arabica Coffee,74,$21.00,83,$1554.00,$1568.70,No
Pear,61,$4.50,24,$274.50,$97.20,No
Sourdough Bread,34,$4.00,28,$136.00,$100.80,No
Pear,29,$4.50,31,$130.50,$125.55,No
Heavy Cream,14,$4.20,28,$58.80,$105.84,No
White Rice,20,$1.80,62,$36.00,$100.44,No
Cauliflower,40,$3.20,21,$128.00,$60.48,No
Canola Oil,91,$2.30,43,$209.30,$89.01,No
Avocado Oil,99,$10.00,94,$990.00,$846.00,No
Bread Flour,34,$1.50,49,$51.00,$66.15,No
Gouda Cheese,100,$7.00,20,$700.00,$126.00,No
Black Rice,79,$6.00,26,$474.00,$140.40,No
Greek Yogurt,62,$3.00,50,$186.00,$135.00,No
Tuna,25,$18.00,36,$450.00,$583.20,No
Buttermilk,47,$2.50,48,$117.50,$108.00,No
Orange,15,$3.00,56,$45.00,$151.20,No
Pomegranate,19,$6.00,59,$114.00,$318.60,No
Tuna,58,$18.00,25,$1044.00,$405.00,No
Sour Cream,11,$4.00,84,$44.00,$302.40,No
Rice Flour,99,$2.00,36,$198.00,$64.80,No
Long Grain Rice,26,$1.50,76,$39.00,$102.60,No
Bell Pepper,70,$4.50,23,$315.00,$93.15,No
Bell Pepper,50,$4.50,69,$225.00,$279.45,No
Pineapple,55,$3.50,81,$192.50,$255.15,No
Cod,31,$8.00,41,$248.00,$295.20,No
Green Tea,63,$8.00,93,$504.00,$669.60,No
Sardines,73,$6.00,22,$438.00,$118.80,No
Sourdough Bread,12,$4.00,75,$48.00,$270.00,No
Short Grain Rice,53,$3.00,44,$159.00,$118.80,No
Powdered Sugar,68,$2.50,69,$170.00,$155.25,No
Swiss Cheese,80,$8.10,54,$648.00,$393.66,No
Tuna,92,$18.00,40,$1656.00,$648.00,No
Cucumber,31,$1.80,91,$55.80,$147.42,No
Eggplant,31,$3.00,46,$93.00,$124.20,No
Garlic,76,$7.00,52,$532.00,$327.60,No
Vegetable Oil,57,$2.00,89,$114.00,$160.20,No
Whipped Cream,92,$4.00,43,$368.00,$154.80,No
Cheddar Cheese,88,$9.00,79,$792.00,$639.90,No
Coconut,99,$5.00,41,$495.00,$184.50,No
Egg (Turkey),44,$2.50,51,$110.00,$114.75,No
Herbal Tea,48,$31.00,70,$1488.00,$1953.00,No
Sesame Oil,27,$6.50,29,$175.50,$169.65,No
Black Rice,34,$6.15,90,$209.10,$498.15,No
Orange,41,$3.00,88,$123.00,$237.60,No
Black Tea,56,$5.00,52,$280.00,$234.00,No
Asparagus,22,$5.00,98,$110.00,$441.00,No
Palm Oil,40,$1.80,71,$72.00,$115.02,No
Swiss Cheese,50,$8.00,42,$400.00,$302.40,No
Mango,89,$4.80,46,$427.20,$198.72,No
Egg (Turkey),76,$2.50,69,$190.00,$155.25,No
Whole Wheat Flour,67,$2.75,30,$184.25,$74.25,No
Robusta Coffee,62,$10.00,62,$620.00,$558.00,No
Watermelon,75,$3.00,90,$225.00,$243.00,No
Green Coffee,75,$12.50,33,$937.50,$371.25,No
Cream,29,$2.50,64,$72.50,$144.00,No
Oatmeal Biscuit,34,$5.00,77,$170.00,$346.50,No
Green Tea,15,$8.00,60,$120.00,$432.00,No
Anchovies,88,$10.00,98,$880.00,$882.00,No
Cheddar Cheese,40,$9.00,40,$360.00,$324.00,No
Avocado Oil,10,$10.00,24,$100.00,$216.00,No
Arabica Coffee,21,$21.00,20,$441.00,$378.00,No
Trout,75,$12.00,89,$900.00,$961.20,No
Cod,56,$8.00,99,$448.00,$712.80,No
Rye Bread,69,$3.00,98,$207.00,$264.60,No
Basmati Rice,56,$4.50,69,$252.00,$279.45,No
White Sugar,24,$2.00,20,$48.00,$36.00,No
Sourdough Bread,30,$4.50,32,$135.00,$129.60,No
White Tea,36,$25.00,35,$900.00,$787.50,No
White Bread,93,$2.50,76,$232.50,$171.00,No
Mozzarella Cheese,96,$7.00,72,$672.00,$453.60,No
Peanut Oil,60,$4.00,94,$240.00,$338.40,No
Gouda Cheese,97,$7.00,43,$679.00,$270.90,No
Chocolate Biscuit,11,$5.00,88,$55.00,$396.00,No
Pomegranate,14,$6.00,86,$84.00,$464.40,No
Sunflower Oil,88,$2.50,25,$220.00,$56.25,No
Jasmine Rice,24,$4.75,35,$114.00,$149.62,No
Haddock,93,$9.00,78,$837.00,$631.80,No
Black Rice,68,$6.00,37,$408.00,$199.80,No
Rye Bread,28,$2.80,31,$78.40,$78.12,No
Lime,21,$2.00,43,$42.00,$77.40,No
Pomegranate,92,$6.00,32,$552.00,$172.80,No
Robusta Coffee,68,$10.00,39,$680.00,$351.00,No
Multigrain Bread,46,$3.50,68,$161.00,$214.20,No
Cucumber,47,$1.75,49,$82.25,$77.17,No
Olive Oil,52,$6.00,100,$312.00,$540.00,Yes
Mushrooms,51,$6.00,52,$306.00,$280.80,No
Egg (Goose),14,$2.50,59,$35.00,$132.75,No
Greek Yogurt,62,$51.17,92,$3172.54,$4236.88,No
Peach,40,$4.00,70,$160.00,$252.00,No
White Tea,50,$25.50,29,$1275.00,$665.55,No
Sushi Rice,77,$4.25,42,$327.25,$160.65,No
Strawberries,31,$5.90,46,$182.90,$244.26,No
Mushrooms,35,$6.50,88,$227.50,$514.80,No
Broccoli,31,$4.00,69,$124.00,$248.40,No
White Bread,56,$2.50,56,$140.00,$126.00,No
Greek Yogurt,90,$3.00,70,$270.00,$189.00,No
Canola Oil,79,$2.30,92,$181.70,$190.44,No
Lime,29,$2.00,81,$58.00,$145.80,No
Canola Oil,46,$2.30,47,$105.80,$97.29,No
Blueberries,42,$10.00,37,$420.00,$333.00,No
Mozzarella Cheese,16,$7.20,56,$115.20,$362.88,No
Tuna,89,$18.00,76,$1602.00,$1231.20,No
White Tea,20,$25.00,73,$500.00,$1642.50,No
Black Coffee,37,$15.00,94,$555.00,$1269.00,No
Bread Flour,97,$1.50,35,$145.50,$47.25,No
Feta Cheese,98,$7.00,92,$686.00,$579.60,No
Kiwi,37,$6.00,47,$222.00,$253.80,No
Digestive Biscuit,97,$4.00,57,$388.00,$205.20,No
Arabica Coffee,97,$20.00,74,$1940.00,$1332.00,No
Lemon,90,$2.50,71,$225.00,$159.75,No
Arabica Coffee,46,$20.00,59,$920.00,$1062.00,No
Broccoli,40,$4.00,86,$160.00,$309.60,No
Kale,77,$4.00,48,$308.00,$172.80,No
Bread Flour,62,$1.50,32,$93.00,$43.20,No
Herbal Tea,59,$30.00,69,$1770.00,$1863.00,No
Blueberries,23,$10.00,40,$230.00,$360.00,No
Digestive Biscuit,39,$4.00,98,$156.00,$352.80,No
Gouda Cheese,68,$7.00,53,$476.00,$333.90,No
Almond Flour,75,$9.50,43,$712.50,$367.65,No
Chocolate Biscuit,96,$5.00,45,$480.00,$202.50,No
Haddock,17,$9.00,100,$153.00,$810.00,Yes
Egg (Duck),23,$1.00,84,$23.00,$75.60,No
Peach,15,$4.00,37,$60.00,$133.20,No
Mackerel,71,$7.50,52,$532.50,$351.00,No
Egg (Goose),97,$2.50,33,$242.50,$74.25,No
Zucchini,29,$2.50,53,$72.50,$119.25,No
Bell Pepper,46,$4.60,96,$211.60,$397.44,No
Cheese,76,$9.50,60,$722.00,$513.00,No
Zucchini,59,$2.50,54,$147.50,$121.50,No
Orange,92,$3.10,79,$285.20,$220.41,No
Kiwi,28,$6.00,70,$168.00,$378.00,No
Coconut,19,$5.00,96,$95.00,$432.00,No
Butter,85,$3.00,45,$255.00,$121.50,No
Bread Flour,57,$1.50,53,$85.50,$71.55,No
Broccoli,95,$4.00,52,$380.00,$187.20,No
Sushi Rice,84,$4.50,39,$378.00,$157.95,No
Rice Flour,31,$2.00,38,$62.00,$68.40,No
Pear,41,$4.50,57,$184.50,$230.85,No
Feta Cheese,97,$7.00,95,$679.00,$598.50,No
Milk,43,$1.00,84,$43.00,$75.60,No
Palm Oil,74,$1.80,31,$133.20,$50.22,No
Bread Flour,70,$1.50,27,$105.00,$36.45,No
Cheese,69,$9.20,28,$634.80,$231.84,No
Carrot,67,$1.50,67,$100.50,$90.45,No
Short Grain Rice,18,$3.00,61,$54.00,$164.70,No
Arabica Coffee,22,$21.00,30,$462.00,$567.00,No
Grapes,88,$5.50,93,$484.00,$460.35,No
Tilapia,78,$7.00,63,$546.00,$396.90,No
Olive Oil,83,$6.00,47,$498.00,$253.80,No
Robusta Coffee,42,$10.50,34,$441.00,$321.30,No
Peas,49,$3.00,82,$147.00,$221.40,No
Brown Rice,17,$2.50,45,$42.50,$101.25,No
Buttermilk,52,$2.40,21,$124.80,$45.36,No
Mushrooms,79,$6.00,55,$474.00,$297.00,No
Palm Oil,35,$1.80,62,$63.00,$100.44,No
Cucumber,76,$1.80,22,$136.80,$35.64,No
Swiss Cheese,93,$8.00,93,$744.00,$669.60,No
Halibut,40,$20.00,39,$800.00,$702.00,No
Trout,19,$11.50,96,$218.50,$993.60,No
Vegetable Oil,70,$2.00,100,$140.00,$180.00,Yes
Digestive Biscuit,90,$4.00,63,$360.00,$226.80,No
Digestive Biscuit,77,$4.00,62,$308.00,$223.20,No
Apricot,38,$5.00,33,$190.00,$148.50,No
Tilapia,93,$7.00,72,$651.00,$453.60,No
Evaporated Milk,23,$2.00,63,$46.00,$113.40,No
Green Tea,51,$7.60,96,$387.60,$656.64,No
Heavy Cream,57,$4.00,23,$228.00,$82.80,No
Papaya,59,$4.50,63,$265.50,$255.15,No
Blueberries,89,$10.00,79,$890.00,$711.00,No
Blueberries,53,$10.00,55,$530.00,$495.00,No
Plum,11,$3.90,40,$42.90,$140.40,No
Yogurt,59,$1.75,92,$103.25,$144.90,No
Onion,34,$2.00,90,$68.00,$162.00,No
Tuna,25,$18.00,31,$450.00,$502.20,No
Anchovies,81,$10.00,95,$810.00,$855.00,No
Apple,81,$3.50,42,$283.50,$132.30,No
Watermelon,71,$3.00,81,$213.00,$218.70,No
Cauliflower,52,$2.50,56,$130.00,$126.00,No
Greek Yogurt,26,$3.00,25,$78.00,$67.50,No
Haddock,84,$9.00,60,$756.00,$486.00,No
Blueberries,28,$10.00,48,$280.00,$432.00,No
Strawberries,94,$6.00,40,$564.00,$216.00,No
Kiwi,47,$6.00,70,$282.00,$378.00,No
Coconut Sugar,20,$5.00,71,$100.00,$319.50,No
Tomato,84,$2.50,86,$210.00,$193.50,No
Cheese,100,$9.00,88,$900.00,$712.80,No
Milk,74,$1.00,24,$74.00,$21.60,No
Green Coffee,27,$12.00,88,$324.00,$950.40,No
Eggplant,91,$3.00,42,$273.00,$113.40,No
Grapes,82,$5.50,39,$451.00,$193.05,No
Bread Flour,84,$1.50,83,$126.00,$112.05,No
Halibut,18,$20.00,57,$360.00,$1026.00,No
Sourdough Bread,12,$4.50,75,$54.00,$303.75,No
Black Rice,85,$6.50,95,$552.50,$555.75,No
Butter Biscuit,33,$6.00,20,$198.00,$108.00,No
Tilapia,59,$7.00,57,$413.00,$359.10,No
Grapes,22,$5.50,34,$121.00,$168.30,No
Gouda Cheese,67,$7.00,73,$469.00,$459.90,No
Cheese,78,$9.00,60,$702.00,$486.00,No
Lemon,72,$2.45,25,$176.40,$55.13,No
Heavy Cream,63,$4.00,21,$252.00,$75.60,No
White Bread,30,$2.50,97,$75.00,$218.25,No
Arabica Coffee,36,$20.00,91,$720.00,$1638.00,No
Grapes,88,$5.50,57,$484.00,$282.15,No
Banana,95,$53.82,87,$5112.90,$4214.11,No
Broccoli,30,$4.00,61,$120.00,$219.60,No
Green Beans,31,$2.00,71,$62.00,$127.80,No
Cod,16,$8.00,81,$128.00,$583.20,No
White Sugar,14,$2.00,39,$28.00,$70.20,No
Tomato,44,$2.50,82,$110.00,$184.50,No
Long Grain Rice,69,$1.50,34,$103.50,$45.90,No
Long Grain Rice,71,$1.50,66,$106.50,$89.10,No
Carrot,92,$1.60,30,$147.20,$43.20,No
Peanut Oil,49,$4.00,45,$196.00,$162.00,No
Pomegranate,52,$6.00,38,$312.00,$205.20,No
Egg (Turkey),56,$2.50,82,$140.00,$184.50,No
Strawberries,16,$6.10,50,$97.60,$274.50,No
Zucchini,52,$2.50,36,$130.00,$81.00,No
Trout,91,$11.50,81,$1046.50,$838.35,No
Mango,58,$4.70,85,$272.60,$359.55,No
Halibut,47,$20.00,61,$940.00,$1098.00,No
Rye Bread,50,$3.00,70,$150.00,$189.00,No
Sour Cream,43,$4.00,59,$172.00,$212.40,No
Cheddar Cheese,68,$8.90,79,$605.20,$632.79,No
Egg (Turkey),19,$2.50,66,$47.50,$148.50,No
Swiss Cheese,70,$8.00,71,$560.00,$511.20,No
Eggplant,97,$3.00,29,$291.00,$78.30,No
Sunflower Oil,87,$2.50,83,$217.50,$186.75,No
White Tea,58,$25.00,85,$1450.00,$1912.50,No
Coconut,16,$5.00,21,$80.00,$94.50,No
Pineapple,65,$3.50,25,$227.50,$78.75,No
Basmati Rice,15,$4.50,68,$67.50,$275.40,No
Bell Pepper,75,$4.50,26,$337.50,$105.30,No
Vanilla Biscuit,80,$5.50,63,$440.00,$311.85,No
Orange,84,$2.85,48,$239.40,$123.12,No
Eggplant,17,$3.00,49,$51.00,$132.30,No
Evaporated Milk,64,$1.90,85,$121.60,$145.35,No
Whipped Cream,76,$4.00,65,$304.00,$234.00,No
Sesame Oil,77,$6.50,29,$500.50,$169.65,No
Cream,18,$2.50,78,$45.00,$175.50,No
Coconut Sugar,51,$5.00,21,$255.00,$94.50,No
Asparagus,68,$5.00,84,$340.00,$378.00,No
Wild Rice,46,$10.00,63,$460.00,$567.00,No
Long Grain Rice,98,$1.50,30,$147.00,$40.50,No
Onion,50,$2.00,30,$100.00,$54.00,No
Salmon,88,$15.00,61,$1320.00,$823.50,No
Potato,26,$1.20,64,$31.20,$69.12,No
Green Coffee,43,$12.00,88,$516.00,$950.40,No
Powdered Sugar,46,$2.50,54,$115.00,$121.50,No
Cauliflower,19,$2.45,70,$46.55,$154.35,No
Kale,61,$4.00,76,$244.00,$273.60,No
Garlic,43,$7.00,95,$301.00,$598.50,No
Green Tea,80,$8.50,81,$680.00,$619.65,No
Green Tea,34,$8.00,97,$272.00,$698.40,No
Green Tea,88,$8.00,78,$704.00,$561.60,No
Cottage Cheese,89,$5.00,94,$445.00,$423.00,No
Wild Rice,26,$10.00,40,$260.00,$360.00,No
Pear,26,$4.50,92,$117.00,$372.60,No
Peach,37,$4.00,93,$148.00,$334.80,No
Yogurt,76,$1.75,62,$133.00,$97.65,No
Feta Cheese,80,$7.00,64,$560.00,$403.20,No
Sweet Potato,100,$2.00,98,$200.00,$176.40,No
Butter,21,$3.10,64,$65.10,$178.56,No
Coconut Oil,33,$5.00,60,$165.00,$270.00,No
Apple,43,$3.50,39,$150.50,$122.85,No
Mushrooms,34,$6.20,58,$210.80,$323.64,No
Mackerel,82,$7.50,66,$615.00,$445.50,No
Whole Wheat Bread,17,$3.50,93,$59.50,$292.95,No
Sushi Rice,36,$4.75,73,$171.00,$312.07,No
Cod,65,$8.00,56,$520.00,$403.20,No
Papaya,45,$4.50,35,$202.50,$141.75,No
Egg (Goose),35,$2.50,95,$87.50,$213.75,No
Bread Flour,96,$1.50,81,$144.00,$109.35,No
Coconut,56,$5.00,42,$280.00,$189.00,No
Ricotta Cheese,49,$6.00,38,$294.00,$205.20,No
Raw Sugar,100,$1.50,76,$150.00,$102.60,No
Haddock,30,$9.00,99,$270.00,$801.90,No
Papaya,20,$4.50,35,$90.00,$141.75,No
Sesame Oil,85,$6.50,46,$552.50,$269.10,No
Green Beans,86,$2.10,98,$180.60,$185.22,No
Sourdough Bread,65,$4.00,100,$260.00,$360.00,Yes
Cottage Cheese,67,$5.00,35,$335.00,$157.50,No
Ricotta Cheese,88,$6.00,23,$528.00,$124.20,No
Robusta Coffee,14,$10.00,32,$140.00,$288.00,No
Tilapia,85,$6.70,54,$569.50,$325.62,No
Feta Cheese,74,$7.00,21,$518.00,$132.30,No
Cheddar Cheese,21,$9.00,69,$189.00,$558.90,No
Butter Biscuit,22,$6.00,47,$132.00,$253.80,No
Ricotta Cheese,91,$6.00,50,$546.00,$270.00,No
Multigrain Bread,85,$3.50,30,$297.50,$94.50,No
Peas,12,$3.00,46,$36.00,$124.20,No
Pomegranate,43,$6.00,78,$258.00,$421.20,No
Yogurt,92,$1.75,50,$161.00,$78.75,No
Watermelon,23,$3.00,92,$69.00,$248.40,No
Egg (Duck),77,$1.00,58,$77.00,$52.20,No
Sweet Potato,65,$2.00,71,$130.00,$127.80,No
Banana,82,$15.31,77,$1255.42,$1060.98,No
Swiss Cheese,20,$8.00,50,$160.00,$360.00,No
Cheddar Cheese,31,$9.00,63,$279.00,$510.30,No
Butter,36,$2.90,26,$104.40,$67.86,No
Black Tea,59,$5.00,45,$295.00,$202.50,No
Long Grain Rice,11,$1.50,48,$16.50,$64.80,No
Black Coffee,24,$15.50,80,$372.00,$1116.00,No
Haddock,75,$9.00,49,$675.00,$396.90,No
Black Coffee,11,$15.00,89,$165.00,$1201.50,No
Anchovies,60,$10.00,34,$600.00,$306.00,No
Lemon,91,$2.40,38,$218.40,$82.08,No
Egg (Goose),43,$2.50,48,$107.50,$108.00,No
Bread Flour,25,$1.50,31,$37.50,$41.85,No
Parmesan Cheese,96,$11.80,78,$1132.80,$828.36,No
Mackerel,30,$7.50,80,$225.00,$540.00,No
Arborio Rice,56,$4.50,61,$252.00,$247.05,No
Whole Wheat Bread,91,$3.50,74,$318.50,$233.10,No
White Sugar,27,$2.00,57,$54.00,$102.60,No
Buttermilk,28,$2.45,76,$68.60,$167.58,No
Sour Cream,92,$4.00,23,$368.00,$82.80,No
Tuna,37,$18.00,27,$666.00,$437.40,No
Powdered Sugar,28,$2.50,82,$70.00,$184.50,No
Tilapia,30,$7.00,48,$210.00,$302.40,No
Arabica Coffee,98,$20.00,39,$1960.00,$702.00,No
Lemon,65,$2.50,89,$162.50,$200.25,No
Rice Flour,42,$2.00,35,$84.00,$63.00,No
Lemon,63,$2.50,33,$157.50,$74.25,No
Broccoli,85,$4.00,85,$340.00,$306.00,No
Egg (Duck),44,$1.00,96,$44.00,$86.40,No
Plum,26,$4.00,47,$104.00,$169.20,No
Coconut Sugar,49,$5.00,93,$245.00,$418.50,No
Pomegranate,59,$6.00,47,$354.00,$253.80,No
Raw Sugar,19,$1.50,39,$28.50,$52.65,No
Eggplant,47,$3.00,39,$141.00,$105.30,No
Grapes,98,$5.50,59,$539.00,$292.05,No
Watermelon,51,$3.00,23,$153.00,$62.10,No
Anchovies,100,$10.00,54,$1000.00,$486.00,No
Yogurt,55,$1.70,62,$93.50,$94.86,No
Whipped Cream,14,$4.00,90,$56.00,$324.00,No
Egg (Quail),29,$0.80,50,$23.20,$36.00,No
Chocolate Biscuit,100,$5.00,47,$500.00,$211.50,No
Ricotta Cheese,49,$6.00,70,$294.00,$378.00,No
Vegetable Oil,75,$2.00,79,$150.00,$142.20,No
Heavy Cream,82,$4.10,69,$336.20,$254.61,No
Cottage Cheese,68,$4.80,90,$326.40,$388.80,No
Corn Oil,70,$2.50,34,$175.00,$76.50,No
Salmon,49,$15.00,96,$735.00,$1296.00,No
Mackerel,89,$7.50,48,$667.50,$324.00,No
Cheese,88,$9.00,56,$792.00,$453.60,No
Green Tea,39,$8.00,28,$312.00,$201.60,No
Cauliflower,87,$2.50,47,$217.50,$105.75,No
Oatmeal Biscuit,93,$5.00,76,$465.00,$342.00,No
Egg (Turkey),23,$2.40,81,$55.20,$174.96,No
Vanilla Biscuit,94,$5.50,74,$517.00,$366.30,No
Digestive Biscuit,38,$4.00,72,$152.00,$259.20,No
Evaporated Milk,11,$2.00,48,$22.00,$86.40,No
White Tea,60,$25.30,43,$1518.00,$979.11,No
Avocado Oil,50,$10.00,27,$500.00,$243.00,No
Egg (Goose),90,$2.50,51,$225.00,$114.75,No
Arborio Rice,86,$4.50,22,$387.00,$89.10,No
Cauliflower,86,$2.50,30,$215.00,$67.50,No
Almond Flour,54,$9.50,60,$513.00,$513.00,No
Watermelon,27,$3.00,70,$81.00,$189.00,No
Rye Bread,50,$3.00,83,$150.00,$224.10,No
Onion,68,$2.00,37,$136.00,$66.60,No
Sourdough Bread,22,$4.20,62,$92.40,$234.36,No
Cheese,50,$9.20,60,$460.00,$496.80,No
Bell Pepper,26,$4.40,73,$114.40,$289.08,No
White Tea,62,$25.00,89,$1550.00,$2002.50,No
Broccoli,79,$4.00,67,$316.00,$241.20,No
Peach,73,$4.00,75,$292.00,$270.00,No
Carrot,18,$1.45,44,$26.10,$57.42,No
Kale,79,$4.00,80,$316.00,$288.00,No
Arabica Coffee,23,$20.00,31,$460.00,$558.00,No
Milk,18,$1.00,73,$18.00,$65.70,No
Sunflower Oil,24,$2.50,91,$60.00,$204.75,No
Watermelon,53,$3.00,24,$159.00,$64.80,No
Yogurt,85,$1.75,49,$148.75,$77.17,No
Sesame Oil,15,$6.50,49,$97.50,$286.65,No
Anchovies,66,$10.00,27,$660.00,$243.00,No
